C0 (279 genes)	C1 (129 genes)	C2 (65 genes)	C3 (67 genes)	C4 (89 genes)	C5 (235 genes)	C6 (103 genes)	C7 (37 genes)
MED134_05084	MED134_10301				MED134_06884	MED134_14401	
MED134_05144	MED134_10326				MED134_07109	MED134_14782	
MED134_05174	MED134_11371				MED134_07149		
MED134_05214	MED134_11466				MED134_07154		
MED134_05219	MED134_11776				MED134_07304		
MED134_05239	MED134_11851				MED134_07309		
MED134_05244	MED134_12226				MED134_07314		
MED134_05269	MED134_12246				MED134_07436		
MED134_05274	MED134_12581				MED134_07441		
MED134_05279	MED134_13066				MED134_07461		
MED134_05294	MED134_13096				MED134_07481		
MED134_05369	MED134_13211				MED134_07521		
MED134_05484	MED134_13261				MED134_07536		
MED134_05489	MED134_13276				MED134_07551		
MED134_05559	MED134_13286				MED134_07586		
MED134_05574	MED134_13656				MED134_07591		
MED134_05589	MED134_13666				MED134_07666		
MED134_05629	MED134_13681				MED134_07756		
MED134_05634	MED134_13686				MED134_08036		
MED134_05679	MED134_13856				MED134_08066		
MED134_05684	MED134_13866				MED134_08071		
MED134_05844	MED134_13946				MED134_08076		
MED134_05849	MED134_14146				MED134_08176		
MED134_05874	MED134_14161				MED134_08211		
MED134_05879	MED134_14271				MED134_08321		
MED134_05884	MED134_14291				MED134_08361		
MED134_05889	MED134_14572				MED134_08366		
MED134_05894	MED134_14602				MED134_08371		
MED134_05899					MED134_08376		
MED134_05904					MED134_08406		
MED134_05934					MED134_08561		
MED134_06289					MED134_08681		
MED134_06344					MED134_08751		
MED134_06359					MED134_08871		
MED134_06429					MED134_08921		
MED134_06434					MED134_08926		
MED134_06459					MED134_08976		
MED134_06494					MED134_08991		
MED134_06789					MED134_09021		
MED134_06794					MED134_09036		
MED134_06839					MED134_09231		
MED134_06974					MED134_09806		
MED134_07019					MED134_09876		
MED134_07044					MED134_09926		
MED134_07054					MED134_09931		
MED134_07059					MED134_10016		
MED134_07089					MED134_10021		
MED134_07129					MED134_10036		
MED134_07194					MED134_10056		
MED134_07229					MED134_10061		
MED134_07234					MED134_10131		
MED134_07269					MED134_10136		
MED134_07491					MED134_10256		
MED134_07576					MED134_10321		
MED134_07611					MED134_10381		
MED134_07716					MED134_10535		
MED134_07721					MED134_10540		
MED134_07871					MED134_10545		
MED134_07891					MED134_10565		
MED134_08006					MED134_10690		
MED134_08041					MED134_10695		
MED134_08111					MED134_10725		
MED134_08166					MED134_10735		
MED134_08496					MED134_10740		
MED134_08536					MED134_10755		
MED134_08581					MED134_10825		
MED134_08621					MED134_10830		
MED134_08646					MED134_10835		
MED134_08651					MED134_10865		
MED134_08656					MED134_10920		
MED134_08726					MED134_10925		
MED134_08801					MED134_11050		
MED134_08811					MED134_11215		
MED134_08816					MED134_11240		
MED134_08856					MED134_11250		
MED134_08866					MED134_11286		
MED134_08911					MED134_11291		
MED134_08986					MED134_11346		
MED134_09101					MED134_11351		
MED134_09111					MED134_11356		
MED134_09126					MED134_11421		
MED134_09131					MED134_11451		
MED134_09156					MED134_11601		
MED134_09161					MED134_11636		
MED134_09301					MED134_11836		
MED134_09406					MED134_12006		
MED134_09486					MED134_12061		
MED134_09621					MED134_12076		
MED134_09746					MED134_12081		
MED134_09921					MED134_12191		
MED134_09996					MED134_12351		
MED134_10071					MED134_12421		
MED134_10076					MED134_12596		
MED134_10086					MED134_12601		
MED134_10091					MED134_12631		
MED134_10096					MED134_12921		
MED134_10101					MED134_12926		
MED134_10106					MED134_12931		
MED134_10226					MED134_12936		
MED134_10306					MED134_12996		
MED134_10625					MED134_13011		
MED134_10630					MED134_13046		
