ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_04999	7.315928101753999	22.183188147662	104.825165689195	70.749221241856	131.044662838982	80.596856748872	47.982386856055	107.715525849594	215.953570670788	177.087257678838	84.751538513881	110.038730267242	26.040247351711002	79.66473363308	523.6521238428351	123.130794634924	267.786401896442	68.734084280692	70.748558317319	60.931235819795	131.834621523337	284.421181391595	337.01679258348	239.175034054685	255.65861800268
MED134_05329	389.510103072724	569.7206098875749	399.781493973275	1269.555470062202	2597.220672524863	1393.617077959895	1145.772963554683	1359.9953812106899	1534.035309914836	1275.028255287636	754.740032327757	1151.46330033913	142.287427512517	520.1366038950509	615.955687510605	963.259138725765	997.425586357808	586.497405285614	867.554196366133	758.110097174189	1169.122364490705	1286.5491028213012	1275.156387908713	1379.569056077612	1345.075301296255
MED134_05334	170.28453340290702	248.24043879526602	141.694706724705	1233.689545404872	2057.823931290859	1233.75188407889	847.4308646351759	976.736590849067	1386.927972945635	1107.001275908645	886.8822240343111	1024.148864978737	337.534345419655	1157.454472959691	1106.9244483426742	1845.641482047894	1650.194321333606	847.3859003656139	1039.709021604944	915.7990894460199	1313.493407079145	1083.7777768331612	1236.041161285746	1522.2348658646179	1580.087510467213
MED134_05339	87.791137221054	121.127249568186	247.24280459106697	487.383524110566	1041.5937072104919	577.906033281748	378.054773857793	677.217935099549	727.8871033236101	561.4627007026729	486.443741766062	469.072949159678	98.447517414066	368.21780952499097	525.447913019251	508.36842825143196	692.464131021624	285.723072977038	402.971996749067	322.17717824029	565.7565506476981	411.85811040527597	412.43094951256	667.1724634157019	639.528885910992
MED134_05499	41.625108165155	64.43687985749399	140.248842370371	195.051672451507	376.22499976353004	199.27794251094699	123.05160500182001	233.84693192508797	271.854358719084	208.93550867224099	169.753821224548	163.368080772185	24.721753814916	87.07540652918	381.425621070707	151.190090999451	235.652033668869	90.056701667038	124.69433403427601	102.51092034918301	211.90595606818698	134.203491616177	181.181729717581	211.20134586115498	219.973466935506
MED134_05819	63.825165853236996	95.070806347123	83.13720037418899	251.06147260131	448.933651403223	236.919331651904	127.695061794341	193.193007652821	368.356771770881	278.397642304406	228.42796327262002	262.891164460988	30.435225807696	79.201566577073	126.423558019669	151.520200368446	165.082440698512	70.991773180422	90.20441185458199	75.052638112794	97.056163084665	287.804462692843	351.098274167748	407.017163215868	356.086828863155
MED134_05889	37.08418727441	70.774933613969	34.941721896398	132.163475792079	268.85292117933096	175.80742928188	207.794691465337	230.024768104618	909.1233424696669	775.614733244524	403.447412629688	606.9030310985111	10.767697217163	34.274362144464	64.289252515684	153.170747213418	174.53372547132798	74.252879368922	203.107319502638	160.827081670274	286.315681099764	568.391258609691	547.3002509085491	626.1443873985239	651.25400697592
MED134_05894	27.497798727284	30.98604058721	25.30262620084	124.793765246052	304.361797561507	128.866402823746	236.42934168588698	225.855134845924	1817.658255591457	1494.122257811222	756.244497508476	1185.2635929126861	7.581337836574	36.127030368489	39.866519716428996	171.98698124610098	145.54978550136002	58.198202748614996	245.55645449302997	199.53018425108797	302.896108960061	1056.4859743364261	1087.716221931457	1278.8637785809028	1027.987244670797
MED134_06129	7498.57403091559	6977.8450717812675	12235.145143764383	7568.69273076944	15931.649203469575	8718.63140479009	4104.428849856309	2160.912436318161	1252.177652281846	855.5099146159071	416.987599256166	1060.953628003276	2211.8827824359	17185.350446056986	13565.391438644652	8814.250261520448	8449.44858689716	5902.100492540607	3036.292294451638	2951.8960941366868	4583.881702352869	940.326649660239	524.76988037372	665.3075508694669	966.302912111825
MED134_06194	66.09562629861	114.789195811711	66.268782906962	186.208019796275	322.116235752595	216.99153740080902	202.76427994010598	215.778521137414	312.455983722584	258.080654601717	200.84610162609	253.87775310804	30.215476884897	108.381091105469	103.437456561547	157.462169010346	186.505352850228	120.410074652307	112.6081219884	116.89383009205301	171.870288795762	184.72715904814902	172.73284076701998	239.175034054685	206.973876189607
MED134_06234	755.558781543271	1260.216355245756	707.750601446359	4467.5185330013965	17378.213191324405	4451.869235694574	2771.756750402634	2892.683073218957	4978.11228303779	4514.2150244270715	3045.2882699736238	2275.510807813043	329.62338419888204	1038.883706622084	1237.298742550458	1917.275215119686	1842.3704450475238	1069.89368415019	3512.665920454925	3951.116060091353	3420.420947375435	1686.227400542084	1810.5656099238809	2744.218811785343	3356.698245740077
MED134_06709	35.318273594677	52.817114637290004	39.03833756701	115.95011259082	163.171741470474	127.98072307925301	36.760699607461	46.908374160307	94.737125008165	79.346073595634	61.432328212724	62.342761857891	34.170957495284	90.31757592122399	80.451355103426	90.44996710447501	96.40310468271899	43.397797739269	29.773351625205	32.949938683666	48.123680862812996	53.45584455972	41.618601126836005	71.332904893502	85.89925649741099
MED134_06714	31.786446235209	44.366376295324	26.748490555173	94.823609025543	149.644550467741	101.853170616706	17.799917704665	31.272249440204	77.08424457186099	56.283547014204004	41.874280863367	50.700438860333	35.819074416278	93.096578257262	82.24714427984101	77.575701713692	64.898822106667	27.343121118961	22.108924474162	18.305521490925	32.352054361555	38.794958920978	30.979259485388997	44.291672973089	73.664347560094
MED134_06734	109.99119490913701	184.15567303535298	130.368769282424	419.09087305071904	566.451123239472	465.86754560337096	140.077613241065	182.421455067862	433.08400003733	332.759312103491	283.591686565678	293.686986583561	102.95237033145	259.373551363516	267.213429450665	267.718698254487	326.384367487899	133.454499406307	109.36547973219	110.879158745035	163.782275205373	226.679847183626	176.800824335809	279.736881935305	377.49791950345895
MED134_06744	44.652388758983996	64.084765759912	38.074427997454	132.163475792079	211.362359417713	154.551115414046	43.725884796244	49.340660227878004	101.20984783481	91.70099854997201	56.918932670565	89.758554723109	28.787108886702	93.096578257262	87.275353973805	100.353248174308	129.797644213334	51.425136049422996	36.848207456937	46.286818627054004	46.506078144735	77.364365755208	56.638848150055	80.657467624679	129.74101352279501
MED134_06769	236.632433084336	397.88893026758996	293.992418714524	759.5715002771531	1274.937752007648	827.6677212288031	329.29847753631697	520.5092184602989	1064.468690309144	886.259950057814	629.367933934442	754.87320080941	177.99662746739602	510.410095718919	515.03233579604	525.864224808137	732.7896127189699	302.27945824173	247.32516845096302	260.199912621013	411.679891750791	620.719342735663	522.579427682834	757.620721908117	905.6381552976301
