index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07284	2087.610103207871	2300.4161325260498	2100.794184489361	2000.4258670847505	1800.5449676806932	1825.3696235051364	1805.4462519469466	1592.156716432902	1858.1125547969532	1824.101207957037	1835.4741879505143	1870.5113907984073	1619.7800378847894	2143.470584760029	1889.9535067187805	1824.8033540980716	1490.3131301969922	1405.635107351374	2032.8405761416705	1703.4102911327961	1475.177296758572	1555.8882880749402	1554.6806183067274	1560.0294728066078	1644.478510459507	1668.1230575972152
MED134_07279	184.94442596933973	206.5427387805647	296.1296480032412	211.2408994504253	229.56374428568125	257.86778199941756	229.40603047771185	206.94917476822172	281.6445037187245	280.0903891139314	293.76556948261134	320.1159737911096	292.4471821457686	188.66346123257654	187.14447128553758	266.41353008093745	203.9908243821675	204.0631667376034	220.50709715529032	212.8075321883694	204.77790106319654	206.59507764146284	259.98755400117324	287.6501181352695	292.4743659542076	252.33113678958946
MED134_07274	290.05672562097885	321.56354540686715	528.5183852255157	274.8676763933245	341.28476650471276	322.33472749927193	277.92090097148775	308.8638437495571	391.33762621970135	412.6062721355764	412.6172884335915	439.4941397892193	433.0105051771219	272.69004480674926	261.17964673915685	516.0145558363789	295.028051792391	343.3062687467916	313.1461734749685	341.06207167689564	333.8559145295716	321.260288198447	414.3317503246363	437.77408489929707	432.6413262416958	379.09182579002
MED134_07269	1295.9415172240065	1208.3368610096509	1112.8100673843771	1450.6905142981016	1634.4938593140505	1668.9775890517858	1661.9808492010666	1552.638783562588	1623.902914862435	1783.9448797686598	2019.9186008508561	1748.8521133481045	1843.360625525264	1271.4966042733308	1287.3894398323794	1147.1301028242308	1390.8465298784147	1426.0414240251343	1362.185854616113	1692.009887622705	1600.3732647071615	1592.4625362698403	1816.166659650847	1748.9967036983908	1839.8293133798645	1875.225028358482
MED134_07264	1337.188115821485	1309.753056099509	1568.2919923400352	1812.0906073337687	1824.2665545902137	1846.858605338421	1746.5353377759332	2061.1721828674144	1942.6059059125705	2039.9414719695649	2040.1009682198905	2218.000702015835	2311.2761169584937	1298.4485273065561	1462.1947152089804	1359.2263112381809	1837.6032940211783	1998.6186624594686	1812.3334789863802	1945.6688657222346	1936.170201995626	1934.4811815518792	1891.091026798159	2109.084260342177	2143.3404478606462	2054.951451260501
MED134_07259	536.2057817672223	493.4763639128462	535.1580634318664	636.2677694289919	624.413384457053	664.9646045077573	632.7725251545345	692.60377083234	659.6410744991178	482.87984646523654	486.0586808042443	548.2271190104275	520.7446598208525	512.0865376312792	577.8856750685281	550.9328340508707	576.5691069314156	708.2192257363884	658.9117400202462	577.6204445112884	672.5643859563753	599.0268758407965	421.8241870393675	432.5249951523031	560.6678411499528	542.1548717342358
MED134_07254	6077.885883654272	5111.623589102239	5020.924659642399	5362.464760747544	5202.679657994489	6188.826767986021	5044.853461774213	6001.52606827843	5424.621375571958	4776.595238007475	4624.004612772096	4666.393660703181	5903.659567316839	5923.081438360554	6340.290164541893	4673.876202487902	6045.54624987151	7031.776651464004	6024.149512224706	5819.905991901567	6056.961519125164	5719.421623126813	5641.804846192606	5179.801762333649	5094.5723518665	5624.484843864175
MED134_07249	2457.49895514655	2677.6349069456437	5105.912540683688	3862.5695389469333	3308.013555156667	4815.919595303937	2535.9415876675157	2703.858564810937	2769.7513431496664	2477.645449222877	2439.263345074126	2906.8963605781755	2864.0956290146887	2197.3744308264795	2669.3793816332723	3037.890204660787	4233.231074575393	5707.766810807672	5207.359909744164	2007.4210514018955	2302.05299204693	2818.194097396223	2828.394859811034	2748.4233915260425	3045.0444364817313	2268.599748683762
MED134_07244	2955.119209193551	3187.1894481288336	3311.871489327729	3911.7742464494418	3441.160526842362	3592.241463130775	2788.911983813633	2667.4604687461747	3350.0872547595645	2288.910706737504	2120.2698163802215	2401.249988675354	2337.6907011523053	2230.667982808699	2262.185916638366	2943.481526525309	3281.5548732222233	3455.8697472797658	3115.8044260759366	2352.283257582155	2338.932424465894	2291.3272247507693	2343.6342043679247	2449.2252759473863	2286.8184387061065	2514.979679416993
MED134_07239	118.41765403792256	106.36332655765607	107.56278694288133	150.1591935852421	139.2686715333133	170.71802234220698	207.22780396627144	223.5883043978275	214.19805677555624	248.969234767939	247.23400027067098	311.75189846640126	341.502838505704	95.12443423491254	104.88316522596061	122.86060853247116	150.8857750595371	165.6512765281722	126.56324511279976	202.35716230411913	253.303470035518	243.16932583636296	231.5162944851946	275.052302742484	338.82879376581786	329.6968155222466
MED134_07234	315.3368989549174	317.85319680601873	261.60332133021757	419.0883707972293	393.3192152094672	386.8016729991263	474.7526612605215	491.89426967522047	529.1951990925506	736.8686222567227	658.7300460726494	688.8956585623403	521.6880378277743	264.7630086205066	318.7625609808607	303.91834742242867	370.04947067674186	352.9092412991494	383.6040625068364	513.0181579541048	460.9929052370538	459.6493354223934	603.890399207336	598.3962311573125	534.1795966861754	557.6280074807672
MED134_07229	384.52474176359124	343.82563701195795	355.8867518603975	568.3992073565661	558.6051110951577	569.4580185820471	622.3764814772968	734.2015949063544	684.0996761378491	982.8261324105334	917.7370939752572	958.0668099211355	873.5680344096185	410.62047444737243	425.70225885831076	372.46163428791255	574.8832323497447	577.3787247105132	578.0156452058793	710.6251521290193	719.148932169804	655.3709879248319	848.8930797790468	968.9819672950867	865.2826524833916	831.9786066788822
MED134_07224	175.63067789894131	127.38863529579739	235.04460850481476	168.82304815515917	176.76408309997456	230.40963854577586	155.24758558008295	267.2660196755426	176.3983996975169	634.4699853763607	563.4244223855427	574.8400859526813	835.8329141327451	142.6866513523688	156.29648151319623	151.31253892946447	221.69250748971095	264.0817451898397	246.6026116115377	187.15662429066418	229.04068554935725	218.45699597494394	929.811396298144	769.5165569093159	763.744382038912	561.1987311145822
MED134_07219	987.2572954622308	947.3756760833087	877.7654588795625	1257.265112391688	1236.5833692188696	1199.8014856917343	1460.2976018626553	1331.1303703684614	1659.4790627005896	1528.9521957724642	1574.2246547846805	1566.3631971726502	1316.9556976628805	843.4366502162245	946.0050196851349	787.6011641713151	1271.1494345797876	1203.9726837518601	1199.088889264567	1434.5507750198117	1406.2709888178756	1373.0170471004396	1346.3908776371995	1296.5251675075106	1514.2446418459353	1455.6650013852259
MED134_07214	1020.5206814279394	1084.658574314702	884.4051370859132	2327.0433220582995	1965.8308635663836	2360.2065046891134	1766.6343555519259	1580.7173148125478	1756.5722995088868	1879.316159216056	2290.138075069594	2222.5629249202216	1509.4048110749347	1046.368776584038	987.1356727149234	980.2983291327698	2071.096923582585	1680.5201966626164	1838.4289934426276	1352.8478831974912	1340.2762150155186	1162.4679966811498	2040.1905174213102	1728.0003447104148	2010.8992255417595	2561.3990866565873
MED134_07209	2296.504167072521	1868.778911960678	7963.630040697029	2003.8192951883716	1542.6683615997779	2505.8540482258213	1045.1489243516298	2095.4903877284764	1073.954962864294	2282.8872575092473	1884.2482424256807	1872.0321317665362	2900.8873712846403	2067.371037372099	4598.407008730352	4523.856933121938	2694.870518800783	4171.291202430422	3494.1893856915235	1171.3914606618728	2121.537875469894	1879.1255626623006	4880.573275975915	4428.132110564113	2760.2958084961256	2259.6729395992243
