C0 (323 genes)	C1 (74 genes)	C2 (37 genes)	C3 (79 genes)	C4 (355 genes)	C5 (80 genes)
MED134_13391				MED134_12256	
MED134_13441				MED134_12311	
MED134_13486				MED134_12351	
MED134_13491				MED134_12361	
MED134_13496				MED134_12391	
MED134_13501				MED134_12396	
MED134_13506				MED134_12411	
MED134_13661				MED134_12416	
MED134_13696				MED134_12591	
MED134_13781				MED134_12596	
MED134_13816				MED134_12601	
MED134_13901				MED134_12611	
MED134_13916				MED134_12631	
MED134_13951				MED134_12911	
MED134_13956				MED134_12921	
MED134_14126				MED134_12926	
MED134_14141				MED134_12931	
MED134_14166				MED134_12936	
MED134_14176				MED134_12976	
MED134_14216				MED134_12996	
MED134_14416				MED134_13011	
MED134_14507				MED134_13046	
MED134_14522				MED134_13101	
MED134_14582				MED134_13111	
MED134_14597				MED134_13116	
MED134_14617				MED134_13366	
MED134_14622				MED134_13401	
MED134_14627				MED134_13421	
MED134_14682				MED134_13451	
MED134_14712				MED134_13461	
MED134_14722				MED134_13536	
MED134_14752				MED134_13711	
MED134_15304				MED134_13806	
MED134_15422				MED134_13826	
MED134_15830				MED134_13831	
MED134_16706				MED134_13891	
MED134_16708				MED134_13896	
				MED134_14001	
				MED134_14026	
				MED134_14056	
				MED134_14061	
				MED134_14156	
				MED134_14181	
				MED134_14226	
				MED134_14246	
				MED134_14326	
				MED134_14341	
				MED134_14381	
				MED134_14411	
				MED134_14426	
				MED134_14431	
				MED134_14436	
				MED134_14446	
				MED134_14527	
				MED134_14532	
				MED134_14607	
				MED134_14612	
				MED134_14637	
				MED134_14642	
				MED134_14667	
				MED134_14692	
				MED134_14717	
				MED134_14792	
				MED134_14802	
				MED134_15094	
				MED134_15519	
				MED134_17434	
				MED134_17819	
				MED134_17896	
