index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_00810	0.00881587481152649	0.015360978411588618	0.01266406758315711	0.0230056753788742	0.04439332094988239	0.015591906055385744	0.024173738765112345	0.023349610623375944	0.019486027954451823	0.012502906776261074	0.014107037236883379	0.0033441376605248987	0.015432483025230185	0.02062423100247188	0.01718107433155711	0.01480866508571096	0.00948294477284741	0.023419018551868905	0.015261562508822372	0.011977638695604306	0.010420498097766026	0.014037105427353681	0.016476746487643093
MED134_00805	0.034926049492554706	0.06195171458558054	0.03884756191081027	0.10766473129596395	0.21672964311285595	0.05763952307974776	0.08206691098290834	0.1244764453654619	0.111713092199606	0.0742524444494587	0.08901649853351218	0.012683368045800317	0.04295726781817497	0.05137308449706632	0.06743801368643272	0.03289758022251038	0.04226189085981312	0.07928499792178519	0.04330716114516479	0.05484947203031633	0.06745901400132742	0.09934298728490501	0.09487262868899421
MED134_00800	0.07548329174749595	0.13478941180581996	0.08197191962831525	0.24295456781825	0.4519900735550639	0.11784160479359827	0.1673265799159259	0.2702196722376606	0.23151135568397804	0.1474052068497625	0.1597339461809379	0.029104301712187284	0.08967752464798143	0.11252989510604905	0.1446762836760709	0.06394110606831858	0.08610427251510079	0.17019011955251295	0.08366606589657978	0.12470835583070365	0.12532020080734405	0.18311426597676492	0.1853275789718812
MED134_00795	0.025793815537073914	0.045892509882556075	0.03556868512567766	0.09330333553261107	0.16307092849829755	0.04908563017436253	0.057437063939208985	0.0890135390900529	0.07026702488810835	0.04025792545167045	0.05449617743963993	0.009376699714805108	0.035980939875262706	0.04486196363512892	0.061864117913984606	0.0298550294504863	0.0337748717937031	0.07195538142845218	0.03634531201370523	0.044195565240465084	0.04338827278134159	0.054297870833139805	0.05413446998186506
MED134_00790	0.11051479428803541	0.19632853812827933	0.14396169884868468	0.4585584519852738	0.8699801807927949	0.26181408918001897	0.32709479407240966	0.5134721885440983	0.4451180102893891	0.20865271576138938	0.27251733949080137	0.04349252425158853	0.1467565714536273	0.19775399015758574	0.2963352499681758	0.12976003644124579	0.19087132675210677	0.37957581023095915	0.20417294908312528	0.2578288144173219	0.25959837366364485	0.29121351838355614	0.29046832503723274
MED134_00785	0.04386846796166292	0.07807439440600827	0.05749914362333998	0.1684491101797091	0.3541797439123103	0.09661928821821213	0.128296742933979	0.2129966828226266	0.19297288940233315	0.09650905287909362	0.10910171175708515	0.017170320256980783	0.06041922806316146	0.07622443061409441	0.11055914142053684	0.05291185951973129	0.07203140926772451	0.14538562471227012	0.0823777521783026	0.09434792405681894	0.10511905975816606	0.11820957914546396	0.11751024560245167
MED134_00780	0.02880977270943824	0.04620988546957237	0.03692300379779765	0.10825931137533842	0.21149268147629996	0.05814481633154267	0.06851397927632245	0.11422673365989547	0.08995709502009369	0.05235442799237429	0.0612398515709666	0.011081554208406036	0.04054726361971438	0.04762322431479871	0.07561510253941979	0.03834089371308472	0.04232684253633947	0.0878213195695084	0.04471935118250711	0.053312234978474066	0.053290792903487656	0.06264791746999006	0.06344741364879376
MED134_00775	0.026574168092161187	0.03510173992400209	0.031790848829764004	0.09165680608203558	0.16895243925935277	0.04919390729974715	0.05551489333659223	0.08062741133095308	0.06044749509430736	0.033133898263667014	0.04873671520856092	0.009320495720510573	0.03390918188009481	0.041452999833067446	0.0661211042456895	0.03311150957366832	0.03321195726380805	0.07012297730511892	0.03433851564485034	0.039199544821977725	0.04018899704957131	0.050416227531685086	0.04644532162096495
MED134_00770	0.01896045802766104	0.02732603804210289	0.01879414157275286	0.05886342785807375	0.11617997969098078	0.03623674462872057	0.04886874413432415	0.06204638315882998	0.04902113315242985	0.027348614439852138	0.03750940908721705	0.006894356633463097	0.024522849738721937	0.02941935761179047	0.044193030767267216	0.023246989492496498	0.024443480932750516	0.04902798349503853	0.02645998175230892	0.029015349353522728	0.025959837366364487	0.03971914075907151	0.03768160283695768
MED134_00765	0.017041212554338284	0.023739693908818773	0.013281826977457455	0.049395883517264684	0.09958283973512638	0.028982177227950816	0.03674929558901176	0.039409319338514805	0.03027475809153706	0.016877728841377282	0.022454612242687758	0.006472826676254076	0.019110910486038475	0.022908236749853064	0.032800232814790845	0.016615179606600257	0.019074142339905408	0.041072668032762445	0.019944087369483783	0.01925816417724614	0.019134715805254575	0.024147432166026432	0.025479258699007506
MED134_00760	0.012274734785426835	0.016503530524847276	0.010501909703105895	0.03658954334612199	0.07718475765877918	0.021980256453078516	0.026649755134584768	0.029049985047862093	0.02313328187786362	0.011857441225670158	0.017497100448847603	0.004833543509330106	0.014248621313705676	0.015306247471255991	0.0219893250803173	0.011694804529967563	0.014895584483376753	0.030391092777234455	0.015707517257456793	0.014753205594763948	0.014290098268573878	0.017602801018224874	0.018434852591971692
MED134_00755	0.025772724927476964	0.039164147437810645	0.02867829188155841	0.08658000694276116	0.17459224409872076	0.053308438064362834	0.06854655843907867	0.07399524493323362	0.06414575956210254	0.03475951520589599	0.04297725297748192	0.010950411555052119	0.032556197066923954	0.04008941431224286	0.05607584153490387	0.03006895880164424	0.03747711735570517	0.06703917524389953	0.040433230542854075	0.03712854490491246	0.03443030073238482	0.04545133493680115	0.04527523382691493
MED134_00750	0.056185383966283656	0.09568873948541257	0.055598345487031214	0.20142543612040156	0.39768680981600635	0.12459087894257312	0.16084332652743888	0.2424303469182906	0.20585305185913702	0.11075710725510049	0.12342746274957912	0.023315290299850064	0.0687485408192446	0.089178493061928	0.1253514032781876	0.05438559504993046	0.09350876363910494	0.16572084120291966	0.08852201760393237	0.11789754167045806	0.12580770949028047	0.15526573205818864	0.14170001979373056
MED134_00745	0.06367255037320209	0.11028801648816208	0.07850296302955176	0.22749548575451345	0.4261275399345335	0.1413377410020615	0.16465508856991617	0.2598603379470079	0.2150349498481457	0.12003268627840699	0.1447885062142139	0.02343706562082156	0.08084084258695921	0.10847322818159591	0.155517817211492	0.07677686713779518	0.10024208743900344	0.20116221851519453	0.1036349285298766	0.1357892729127333	0.1378430801002734	0.1608173846870134	0.14764597613492353
MED134_00740	0.010102401996940643	0.017582607520702672	0.013281826977457455	0.02908868696016698	0.05099994947599919	0.015880645056411406	0.02019908090885398	0.03496960464252078	0.03050430554126228	0.022925980111729197	0.028250526766368526	0.004102891583501136	0.013276163479239118	0.017794791046760863	0.017487332341032284	0.00919896209979156	0.01056547271495328	0.023419018551868905	0.01278403612752004	0.01755012300853251	0.019104246512571046	0.029608814020398767	0.028177624428143255
MED134_00735	0.006179548611907324	0.009394317375682295	0.018936701432976016	0.015733503638832455	0.028601867399651995	0.009636664159231466	0.014530306589272379	0.01912914109755447	0.015660237125698195	0.011116351149065774	0.013195729921839233	0.0020327111269857227	0.006426677862561611	0.025124063221193017	0.009892133706048033	0.0061326413998610396	0.006451866534950977	0.01269275051284498	0.007531680199159093	0.01031229855610852	0.010024397292880185	0.013314939231734199	0.013754501415771624
MED134_00730	0.013624533799631848	0.02148632724100309	0.019720780664203377	0.05392383950634728	0.10312785991987197	0.03814964051051558	0.039062416144703106	0.07311826425254346	0.05764191515322137	0.03846496558891791	0.05693848104395823	0.00443074821688593	0.019914245218858675	0.025260421773275477	0.040181050843142475	0.02488711451804073	0.021304149900643495	0.05077100205137992	0.027401441777203803	0.04457987450342565	0.04287029480572163	0.05605815093496229	0.05150774228093644
MED134_00725	0.004871930816896218	0.007331376060076385	0.0055123145952954014	0.019804090336088525	0.03738384922095359	0.01342636354769328	0.014334831612735082	0.025706496202730796	0.019230975232534916	0.013913368534959742	0.0203768315643871	0.001545609843099743	0.006934047167500686	0.008249692400988752	0.013475352416907537	0.007677686713779519	0.009201487507899883	0.018413426800324404	0.009241173402257703	0.016503947792695414	0.014716668366143248	0.020040111928440626	0.018625887333857408
MED134_00720	0.009975858339358922	0.01882037231006622	0.01116718905081396	0.029042950030984328	0.06244069643585998	0.016169384057437067	0.024173738765112345	0.03798422573239327	0.030325768635920444	0.01917271746570054	0.021689114098050674	0.004130993580648405	0.01124668625948282	0.02243098181756446	0.016629809914501803	0.009341581667230188	0.012643926363796546	0.024893880407234694	0.013155665084715388	0.023165308350678558	0.025472328683428063	0.030917740249959073	0.02750900283154325
MED134_00715	0.00780352555087273	0.011012932869465393	0.00881495135713187	0.022776990732960935	0.03835067290770239	0.012884977920770164	0.01645247719188913	0.01819734912432116	0.014589015693647178	0.008916987050755986	0.010789878610122688	0.00265095506422562	0.008921243611845394	0.013635855208245872	0.01610917129839401	0.009080112460259368	0.00783750230084649	0.01622348040902369	0.008795218653623283	0.011465226344990217	0.011395515463638872	0.014488459299615859	0.013850018786714482
