C0 (380 genes)	C1 (156 genes)	C2 (93 genes)	C3 (135 genes)	C4 (154 genes)	C5 (375 genes)	C6 (89 genes)	C7 (131 genes)
MED134_04419	MED134_09941		MED134_12756	MED134_11486	MED134_04534		MED134_13206
MED134_04444	MED134_09981		MED134_12786	MED134_11651	MED134_04584		MED134_13266
MED134_04494	MED134_10081		MED134_12866	MED134_11816	MED134_04744		MED134_13386
MED134_04499	MED134_10166		MED134_13006	MED134_11821	MED134_04769		MED134_13426
MED134_04574	MED134_10196		MED134_13086	MED134_11911	MED134_04804		MED134_13431
MED134_04579	MED134_10201		MED134_13166	MED134_11916	MED134_04854		MED134_13531
MED134_04634	MED134_10206		MED134_13181	MED134_11921	MED134_04944		MED134_13651
MED134_04664	MED134_10211		MED134_13296	MED134_11926	MED134_04969		MED134_14026
MED134_04674	MED134_10216		MED134_13346	MED134_11931	MED134_04974		MED134_14096
MED134_04704	MED134_10221		MED134_13696	MED134_11936	MED134_05009		MED134_14156
MED134_04749	MED134_10301		MED134_14016	MED134_11941	MED134_05034		MED134_14251
MED134_04754	MED134_10306		MED134_14121	MED134_11946	MED134_05039		MED134_14331
MED134_04759	MED134_10436		MED134_14136	MED134_11951	MED134_05054		MED134_14336
MED134_04784	MED134_10680		MED134_14211	MED134_11981	MED134_05104		MED134_14366
MED134_04819	MED134_11080		MED134_14286	MED134_12156	MED134_05114		MED134_14401
MED134_04839	MED134_11466		MED134_14301	MED134_12361	MED134_05184		MED134_14431
MED134_04954	MED134_11756		MED134_14502	MED134_12366	MED134_05284		MED134_15379
MED134_04999	MED134_11761		MED134_14542	MED134_12406	MED134_05434		MED134_15751
MED134_05029	MED134_11801		MED134_14547	MED134_12411	MED134_05444		MED134_16360
MED134_05059	MED134_11851		MED134_14617	MED134_12471	MED134_05449		MED134_17896
MED134_05099	MED134_12141		MED134_14677	MED134_12506	MED134_05459		
MED134_05144	MED134_12661		MED134_15163	MED134_12591	MED134_05464		
MED134_05174	MED134_12706		MED134_15422	MED134_12606	MED134_05469		
MED134_05214	MED134_12956		MED134_15652	MED134_12611	MED134_05529		
MED134_05219	MED134_13081			MED134_12841	MED134_05544		
MED134_05224	MED134_13131			MED134_12911	MED134_05724		
MED134_05229	MED134_13156			MED134_12976	MED134_05789		
MED134_05239	MED134_13196			MED134_13411	MED134_05794		
MED134_05244	MED134_13271			MED134_13416	MED134_05814		
MED134_05274	MED134_13276			MED134_13476	MED134_05914		
MED134_05279	MED134_13286			MED134_13541	MED134_05999		
MED134_05294	MED134_13471			MED134_13851	MED134_06079		
MED134_05369	MED134_13511			MED134_13971	MED134_06129		
MED134_05484	MED134_13551			MED134_13981	MED134_06204		
MED134_05504	MED134_13606			MED134_14081	MED134_06254		
MED134_05559	MED134_13856			MED134_14231	MED134_06259		
MED134_05569	MED134_14011			MED134_14532	MED134_06269		
MED134_05574	MED134_14041			MED134_14607	MED134_06274		
MED134_05589	MED134_14266			MED134_14632	MED134_06284		
MED134_05614	MED134_14276			MED134_14767	MED134_06544		
MED134_05629	MED134_14291			MED134_15127	MED134_06549		
MED134_05634	MED134_14386			MED134_15440	MED134_06564		
MED134_05679	MED134_14572			MED134_16069	MED134_06604		
MED134_05684	MED134_14627				MED134_06619		
MED134_05844	MED134_16471				MED134_06849		
MED134_05849					MED134_06879		
MED134_05859					MED134_06884		
MED134_05874					MED134_07109		
MED134_05879					MED134_07149		
MED134_05884					MED134_07154		
MED134_05894					MED134_07304		
MED134_05899					MED134_07309		
MED134_05904					MED134_07314		
MED134_05924					MED134_07359		
MED134_05934					MED134_07456		
MED134_05954					MED134_07481		
MED134_05959					MED134_07506		
MED134_06049					MED134_07516		
MED134_06069					MED134_07521		
MED134_06074					MED134_07536		
MED134_06119					MED134_07541		
MED134_06239					MED134_07551		
MED134_06289					MED134_07586		
MED134_06344					MED134_07651		
MED134_06349					MED134_07656		
MED134_06359					MED134_07666		
MED134_06389					MED134_07746		
MED134_06429					MED134_07756		
MED134_06459					MED134_07876		
MED134_06494					MED134_07941		
MED134_06639					MED134_07971		
MED134_06684					MED134_08011		
MED134_06789					MED134_08066		
MED134_06794					MED134_08071		
MED134_06824					MED134_08076		
MED134_06839					MED134_08176		
MED134_06889					MED134_08211		
MED134_06894					MED134_08271		
MED134_06959					MED134_08316		
MED134_06964					MED134_08361		
MED134_06974					MED134_08366		
MED134_06989					MED134_08371		
MED134_07019					MED134_08376		
MED134_07024					MED134_08386		
MED134_07029					MED134_08401		
MED134_07039					MED134_08406		
MED134_07044					MED134_08466		
MED134_07054					MED134_08471		
MED134_07074					MED134_08561		
MED134_07089					MED134_08676		
MED134_07099					MED134_08681		
MED134_07129					MED134_08881		
MED134_07159					MED134_08976		
MED134_07194					MED134_08991		
MED134_07229					MED134_09021		
MED134_07234					MED134_09026		
MED134_07264					MED134_09091		
MED134_07269					MED134_09116		
MED134_07389					MED134_09166		
MED134_07491					MED134_09186		
MED134_07576					MED134_09211		
