,index,D_10_R1,D_10_R2,D_10_R3,D_18_R1,D_18_R2,D_18_R3,D_18_R4,D_25_R2,D_25_R3,D_34_R1,D_34_R2,D_34_R3,D_34_R4,L_10_R1,L_10_R2,L_10_R3,L_18_R1,L_18_R2,L_18_R3,L_18_R4,L_25_R1,L_25_R2,L_25_R3,L_34_R1,L_34_R2,L_34_R3,L_34_R4
506,MED134_04809,0.11801348848278538,0.16102177682422028,0.08552287655883993,0.4015509619511758,0.7204920107831019,0.4284918603857625,,0.27369308244587226,0.2971558635695918,0.24666958262995764,0.21448149720730006,0.13118936375876497,0.20745868464035735,0.04664170886414186,0.13316052860180527,0.14168776601920346,0.27405679813918116,0.2457964126583581,0.13844650041793438,,0.2393659556402651,0.20530949889322403,0.27919822914022235,0.17473520160513015,0.13940666768425322,0.21660959224523788,0.24546286055491642
507,MED134_04804,0.06965268099635966,0.09725391375213131,0.061256453145272206,0.17608695064639837,0.31628263463266654,0.1951595316990549,,0.09766737453603587,0.10271196593916199,0.11892157120590276,0.1050443175006567,0.06965673786732589,0.08281071680521145,0.02620505904381115,0.0834163867867309,0.09711627866056431,0.12349391494081866,0.11007596332072588,0.06341597265021529,,0.08271685609933299,0.07183609647938943,0.10692353966494031,0.060831397796441984,0.05901705392873212,0.09152058320650064,0.09056381552976304
508,MED134_04799,0.043946023287091095,0.0694016886334,0.0470628847335628,0.13103345350835505,0.23376676951599118,0.14325869867175914,,0.06771707822427209,0.08446982043237579,0.1493433684911337,0.11731687628863201,0.07138687282515364,0.09276302517409173,0.01756892637780043,0.05252314415111207,0.07571047167768843,0.08747898278352566,0.09098436807963832,0.044626983918011474,,0.05704102514333904,0.04639142160700286,0.08083969583593634,0.08681499819002787,0.08436372078041453,0.10886426988648955,0.087326662540098
509,MED134_04794,0.00317864462352094,0.00535213428324546,0.0032049993187730935,0.013265478982848094,0.024264398861153513,0.01563224749030324,,0.006191275723362019,0.008756229843257383,0.019947754893023768,0.014963186889142157,0.008299632913637462,0.010778537742900537,0.0012635563060957157,0.004214820209657142,0.0043098940233978235,0.008582843593855347,0.010018361859184553,0.00549370965601153,,0.004863963384315732,0.005360902722342495,0.00820933379424466,0.007059780315271168,0.008323720225367308,0.011096229650100434,0.009915374117950414
510,MED134_04789,0.009384569840871347,0.015281751835056112,0.013470636234542551,0.0397473055449041,0.07938770219729319,0.0467196065220111,,0.022675547336813397,0.0252610281589211,0.05854872011374233,0.053620374301825015,0.030365122230860925,0.03988434523679572,0.0027908113195505373,0.010097041820936887,0.015982523670100265,0.02819134011212487,0.02873190570935947,0.018964586757738433,,0.017952446673019883,0.018567028940795958,0.029925650284438665,0.024472401412361715,0.02869493025060835,0.05548114825050217,0.037520387407771236
511,MED134_04784,0.04836080748642573,0.06982422555049833,0.05034017727005258,0.15648352059396733,0.29506185374712807,0.18811837773033474,,0.12026553092630723,0.15187889144792865,0.18788549077706457,0.15547986670314135,0.09430489241145165,0.14748194326261466,0.01631635751784468,0.06586235536409292,0.07201114597427197,0.12837953360193632,0.13824079194371638,0.08423688139217679,,0.09727926768631465,0.09296589842891498,0.14829372917977915,0.12258755914855844,0.11687629714942444,0.14145361663195258,0.1497501875140326
512,MED134_04779,0.05451627802721231,0.07591579943866586,0.04144811149090016,0.14336543582203976,0.2886364380208296,0.18289286723782544,,0.11813727989640155,0.1789815076294396,0.28662393535079284,0.2581081099905054,0.16531564894142534,0.20144974373839192,0.019909252405612494,0.059285383168803746,0.06928154642612001,0.10745059960768905,0.11883415387686835,0.06863374255181529,,0.10052190994252513,0.08849412103613172,0.14396664190892114,0.15926232845408855,0.15549084887161713,0.2248152074486735,0.22400079112737337
513,MED134_04774,0.03955646642603837,0.06721858122839199,0.030363151441008256,0.16326365429631187,0.28889007285213086,0.18838408165368267,,0.1385684897834962,0.18679956998949082,0.1832368989288378,0.14647449918086866,0.09916932982911228,0.13501339089103634,0.014250717643531682,0.040341850578146925,0.05035392850669791,0.10837490584087349,0.14239935724375527,0.06421870648123068,,0.10550378759070306,0.09594708335743714,0.15076057332484777,0.10016768172562061,0.09303165500006394,0.1249025177841137,0.13794859826824585
514,MED134_15519,0.8450401504292138,1.0418704033351966,0.4089145371448168,1.418276228881022,3.4732753798394027,1.5025999705197712,,0.43458886030674276,0.3232160714364292,0.30380607230879564,0.2217022644583907,0.12903296366639994,0.1906336501148541,0.2632262471750875,0.6290271787621279,0.8590337104302429,0.9721720916886153,1.0750521386252003,0.7487750663118181,,0.3359377377434065,0.3003413061761149,0.3625452091891792,0.14324813029484723,0.1340557046822314,0.16434541813699172,0.16603791003683546
515,MED134_04769,0.9113375954340791,1.1399341795117663,0.44980840063322236,1.5643438919032715,3.760643643703726,1.676326052402093,,0.5018802883250337,0.43840219020785076,0.4083699674265043,0.3125246905671655,0.1943769013489958,0.25661933239456225,0.2830805623500002,0.6818282231468437,0.9311526037550998,1.0586937573020572,1.148142074201641,0.7855753953774296,,0.4042690536515512,0.3525643439152269,0.4340432493282165,0.19165160811137097,0.18490549929208805,0.23721687588113868,0.24938822717230552
