"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_09176",17.4170266625041,11.279336697787,17.7374319748093,20.3982474909599,18.5320086009124,16.6834752415688,19.2744078408849,22.8930759382047,15.7845325031362,18.2704868856438,13.8024214878144,32.339320183723,33.6754481019166,37.8607737746495,38.2585478958126,48.0538999924229,15.2201312014664,13.2486341209795,12.3566418116721,19.5968480479705,20.4066210934156,24.84712397683,18.6868204206692,16.6920134746573,19.024338879987,19.6238893294159,34.1065701593654,34.8717990303508,38.9141448748601,37.9618702488515,37.0785827902497,40.6184706746239,33.5295761228966
"MED134_09186",148.458837754729,155.544419356895,197.477577159204,148.431416295881,158.68221930904,118.078928346029,142.948328041903,135.74218999397,148.642616822451,153.511928575198,177.914729727541,168.305179946058,147.408479707661,161.902107281151,184.600650243162,197.273905232052,140.317901884288,163.041913584966,203.89709661507,147.142014189432,142.135833721102,161.845020295038,152.50255582623,156.795149473924,158.237502091781,173.768461776301,151.313789708057,177.43982431209,184.961787301232,182.613282433349,194.496360101891,181.973063065089,173.124057803609
"MED134_09191",82.0776651135607,75.5802584831586,88.7847370667718,87.1397220837232,83.605919347311,84.3127345929845,86.5309485589738,82.3149168935631,80.8289598383924,85.6927082483867,94.2797630122949,132.001597841495,117.754193132759,126.367780998273,162.260217135343,128.599478528955,89.1813338030571,79.3695848539121,94.8118478725072,82.6010204622021,95.9281609861503,84.1783514223676,86.1213544715251,83.3404054643457,82.3167866368373,86.0174447866419,113.656962795428,128.755623245644,130.577023240852,122.194147385429,123.245421404045,125.513683470445,125.106027776795
"MED134_09196",61.6587714500189,58.7929453093838,78.7082139775944,66.5621851346338,68.2799865434667,72.9690915025431,71.2876754516455,74.5708199749764,70.5677889975969,80.198223034596,75.4103625612605,80.4619286530504,80.3592370976824,77.9528664687025,82.3447845108178,77.7963723325737,61.7526819656628,57.4166836255531,71.7744665503956,67.0977274562233,81.6334136168182,74.386366279802,80.8106376913348,68.7496853103377,69.0545511112279,80.2926554265045,74.981782011612,79.9641945400539,80.0331762418687,82.4037909299666,87.4574721595712,87.8427675039646,84.1677724724519
"MED134_09201",52.9476383124574,55.8760375737096,66.2753765598834,49.9763014505114,52.0137209898937,52.7856262420072,58.759551345416,52.7237238694699,52.6501751346574,56.003620241913,68.5633206938823,81.8130863797522,72.8391286576523,80.8987596782755,102.616928975084,81.0407162866912,50.8082490267556,55.3246014964739,58.2686746140674,50.7566544402862,65.8864936853304,64.9186276899293,53.0714015930827,51.4835863853533,61.0653889741334,66.850528417146,68.2570577845986,76.917890585136,79.9089175446116,69.1627019785761,59.9860670783507,67.3067767724927,88.9802455933717
"MED134_09206",190.03205280865,213.653033825127,163.071320521666,175.151335629083,181.280476491518,170.485706831434,180.718707727419,160.937539836129,199.379769231086,167.704405395468,238.757676964648,246.405719341111,229.230920756911,252.63363704346,293.988397855121,219.903165616295,189.609540733268,163.733942080658,192.715263905965,155.277251967143,152.362842559939,144.910173449648,149.68466442592,178.464214575797,174.270572948252,172.948435168984,193.812452298441,219.759115476117,231.34440423877,279.5816819084,285.157154800152,285.257660353283,260.92176611501
"MED134_09211",347.792952487586,351.781434055603,271.240547584714,351.910133134718,375.616131331191,348.304132236262,369.153988506244,379.278727133937,344.636311864609,342.272915436814,396.047491572605,384.675941368886,366.903607527077,381.46661511198,427.917544131981,373.383720737909,330.008645107072,313.792519089345,311.716161491815,331.722714179535,264.317953082121,302.672523615612,314.142129066423,362.43719970275,331.862731566864,308.122317873677,327.535776541853,354.657033633966,407.190573465895,410.515446885497,432.319199671184,411.005015997595,440.556720208699
"MED134_09221",326.08293034631,299.920143718448,425.839398964643,247.764028331313,228.414985847841,231.776259968375,223.971241479496,238.282125430647,198.214129412205,223.812436762698,217.969759746716,195.869882549987,182.591824392602,180.703494285995,212.300969299583,213.243697560361,378.410511996458,336.231407370286,414.176671491531,256.545403969486,311.195345789074,283.38302155853,287.505136297582,208.258807157638,213.115734546286,225.853611721626,187.192640452172,199.591314799033,186.134672528196,214.853855847887,210.879295347855,212.463973009194,199.955953554842
"MED134_09231",113.304685666103,107.780837073618,236.872013012219,66.8255087073636,71.2200862455275,74.3256139325595,78.5518165979634,68.3068233258932,62.6869714996884,58.2371769479897,71.4631326834356,34.5340657138684,34.7444220301518,39.1014971244726,47.4246583291844,41.9681264736456,111.279373319471,108.5914832416,235.88890188754,74.3630394677453,160.44705834698,96.6610129549583,62.3218437987943,62.3441925030317,56.7899163590089,68.0616054465323,36.4206379963106,32.0988867930983,44.0838179454216,51.1383676231738,49.837413733934,48.3519642232068,54.2543848600343
"MED134_09236",107.657389008717,100.046051339229,188.599125264654,136.360906597102,142.468818076272,165.891006571502,158.231356676666,190.581305689755,126.379088176168,191.09559518443,158.878585806076,221.689627533291,202.712412302385,210.997422220574,234.695271142481,308.156712254604,108.942642105197,158.091874462842,141.719230980629,170.84431631564,174.018081008346,247.200388544666,170.176360103487,133.356412995711,191.126080957916,196.17180307423,260.113709387688,201.833410563646,262.777927296474,192.364477126392,152.763594300584,198.30145683201,220.690597633136
